n_digits,multiplicand,multiplier,product
1,5,1,5
2,23,63,1449
3,536,252,135072
4,2978,8787,26167686
5,78558,23323,1832208234
6,628817,878203,552228975851
7,7596824,7698005,58480389136120
8,75527471,50266002,3796464008340942
9,523975908,404773019,212091310164426252
10,8327754461,7865266651,65500009439819780111
11,74041103400,12968325229,960189109205217678600
12,179903021980,178700276932,32148719848729682965360
13,1392818817156,7950657425022,11073825270331710797277432
14,52976852744693,62030929463174,3286203415787007402967435582
15,379387992790605,967667325882888,367121364455761131660536667240
16,7091971289517134,3876644201829663,27493049379049035787214587945842
17,25158946465899497,73962548089423838,1860819787863331463055625144009486
18,285300285766731163,966150616871878649,275643047087250573152457903542638787
19,4416633840488828747,9680512098520015596,42755277327585027398059248418213138212
20,20654795886573625128,11901546196708225935,245824007427635037745081172690617294680
21,533210222175941824925,414780146420166825604,221165014026866834261166981207711975379700
22,2705685899720252415499,5273021687570709994989,14267140428979160206311515139364249435934511
23,24587632715243031375311,42557726320204223607392,1046393743957012796607995230658975451465898912
24,494632611381419287033532,536569351987930441995902,265404699761025974690097762862653081342880585864
25,9694172440313540244912786,8245441840854706611698100,79932735051821840733605220376090639757601861906600
26,61230754575593448246325089,63433222455496524146213659,3884064076111530864387333637910241978012960566190651
27,199552749438676813765377260,832325347337559222669987794,166092811488711605220300592862542675155705664005164440
28,8171015953387246900879236109,9011121295220661692834251475,73630015861155578142385743868874451655727117948806510775
29,22392820345970328708603779428,54746912449876696662973787625,1225937774986655186633566069046853127990732460771215978500
30,239880400608820528793000534406,985575516024397906157239758832,236420249614177586319569441258085609911769469915646558373792
31,1879958334325482942992497915802,4595271951066993459347968735650,8638919802900517184708866934777375811380607266314882095741300
32,96895798655698812870156824100204,44214405796602249661470598169664,4284190161748934062134899130189669939773121936941039206129011456
33,644061876535696945909590121304846,392275416629705564515006415769391,252649640953350505853119373249782182700055797766093313607946768786
34,8722044745888846111604290668410196,2829367256724852809691351834828779,24677867815706940444107324590600224968246201162244331284773797830684
35,98471639376230973618037267856491395,33184636516750002999506210790384463,3267745559908711854473819281088710915810074360288881182803062301195885
36,939032090730305965493441052071925098,469247557034906199417421894075501405,440638514552576461588714182480984228587873950791734418349404117953762690
37,2523656594627132337278165264927927291,1454536754818590320178741113783709036,3670751273425483770010031430709954569963053505620278472401765389707701476
38,46089847592710739984595285238827246735,75899723763036747809102700525278708464,3498206700567209398115010520602169089546715542495975897849544450973860865040
39,762606541912998996737558955054817333556,127092918096061260621137203112021921439,96921890770869290400537636319064503727879407315002237364673563146105690507084
40,2730436441839334846517327936360220226503,3058048347562533184077099034968035546786,8349806649091300672519839265004205889235713839362465167740781295724208373669358
41,61408373078242186546441101845042129065166,12631279051483841626964612377961878740368,775666296448904841967922129882836891393994062647031794358617686990676753466821088
42,826900386592038539220497215897083219172395,331207495289711804311764755136171774147678,273875605897243474504355429314714785839421281810585947936244441167810294619670948810
43,2139203640492219013028829079188961200361791,8367585501596351794928697688567828722677177,17899969367144826247462099625790392424609162522784256453578882089506172899938498544007
44,21376245155984289952710772484810192805897198,34612360315440003072479425176295669416538876,739882299530107235869366085091616950000019475372199372798803122800348451347167026469448
45,413706165903672489322724554015101726562113764,717898060345825318350176212799192504215699869,296998854055354693487223025617512019657946607237643515581085720280621845025146815257896916
46,8423829382548677867030995523144554420186694961,5874197469510390376994751337939884217860628984,49483237242554717750108275530330506371325052181673736199339467620689420000015314911603349624
47,35037320577434271845943009121771830811450197921,70507137090031820301701443208481148144014470334,2470381165220551063617815247376158760722140427848757784628145842456309532309754984012282975614
